id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_bid,first_ask,first_bid_qty,first_ask_qty,second_ask,second_ask_qty,executable_qty,pair_cost,gross_edge,market_end_ms
184930,1789813409751,1789813424771,btc-updown-5m-1789813200,5m,DOWN->UP,0.13,0.14,533.28,820.54,0.87,265.21,265.21,1.01,-0.010000000000000009,1789813500000
184990,1789813425500,1789813440518,btc-updown-5m-1789813200,5m,DOWN->UP,0.13,0.14,265.21,865.97,0.87,169.26,169.26,1.01,-0.010000000000000009,1789813500000
185050,1789813441239,1789813456298,btc-updown-5m-1789813200,5m,DOWN->UP,0.13,0.14,169.26,1070.97,0.87,52.49,52.49,1.01,-0.010000000000000009,1789813500000
185110,1789813457051,1789813472158,btc-updown-5m-1789813200,5m,DOWN->UP,0.13,0.14,52.49,1134.36,0.88,65.0,65.0,1.02,-0.020000000000000018,1789813500000
185198,1789813472858,1789813502552,btc-updown-5m-1789813200,5m,DOWN->UP,0.12,0.13,65.0,801.85,0.57,481.99,481.99,0.7,0.30000000000000004,1789813500000
190238,1789814859855,1789814874863,btc-updown-5m-1789814700,5m,DOWN->UP,0.05,0.06,583.89,138.0,0.95,553.89,138.0,1.01,-0.010000000000000009,1789815000000
190298,1789814875233,1789814890274,btc-updown-5m-1789814700,5m,DOWN->UP,0.05,0.06,553.89,148.0,0.95,527.73,148.0,1.01,-0.010000000000000009,1789815000000
190358,1789814890696,1789814905761,btc-updown-5m-1789814700,5m,DOWN->UP,0.05,0.06,527.73,217.0,0.95,550.4,217.0,1.01,-0.010000000000000009,1789815000000
190418,1789814906455,1789814921466,btc-updown-5m-1789814700,5m,DOWN->UP,0.05,0.06,550.4,311.8,0.95,155.4,155.4,1.01,-0.010000000000000009,1789815000000
190478,1789814921927,1789814936960,btc-updown-5m-1789814700,5m,DOWN->UP,0.05,0.06,149.9,922.83,0.95,83.57,83.57,1.01,-0.010000000000000009,1789815000000
190538,1789814937429,1789814952446,btc-updown-5m-1789814700,5m,DOWN->UP,0.05,0.06,83.57,455.81,0.95,80.82,80.82,1.01,-0.010000000000000009,1789815000000
190598,1789814953067,1789814968121,btc-updown-5m-1789814700,5m,DOWN->UP,0.05,0.06,80.82,487.21,0.95,70.82,70.82,1.01,-0.010000000000000009,1789815000000
190658,1789814969153,1789814984338,btc-updown-5m-1789814700,5m,DOWN->UP,0.05,0.06,75.82,473.87,0.95,125.82,125.82,1.01,-0.010000000000000009,1789815000000
190718,1789814985190,1789815000455,btc-updown-5m-1789814700,5m,DOWN->UP,0.05,0.06,125.82,493.87,0.54,60.0,60.0,0.6000000000000001,0.3999999999999999,1789815000000
193510,1789815755019,1789815770038,btc-updown-5m-1789815600,5m,DOWN->UP,0.05,0.06,153.0,679.85,0.95,129.43,129.43,1.01,-0.010000000000000009,1789815900000
193570,1789815770408,1789815785424,btc-updown-5m-1789815600,5m,DOWN->UP,0.05,0.06,129.43,749.43,0.95,140.2,140.2,1.01,-0.010000000000000009,1789815900000
193630,1789815785780,1789815800813,btc-updown-5m-1789815600,5m,DOWN->UP,0.05,0.06,140.2,737.08,0.96,250.0,250.0,1.02,-0.020000000000000018,1789815900000
