id,market_slug,anchor_ts_ms,market_end_ms,q1,leg1_cost,cash_before_leg1,hedge_ts_ms,paired_qty,unhedged_qty,exit_qty,zero_value_qty,exit_proceeds,leg2_with_friction,total_cost,pair_net_edge,status,invalid_future_quote,cash_limited,depth_limited,cash_at_hedge_before_exit,pnl
53488,btc-updown-5m-1789776900,1789777042133,1789777200000,83.33333333333334,10.0,397.1431660108016,1789777057146,83.33333333333334,0.0,0.0,0.0,0.0,74.58333333333334,84.58333333333334,-0.01500000000000001,complete,False,False,False,387.1431660108017,-1.25
53550,btc-updown-5m-1789776900,1789777057542,1789777200000,83.33333333333334,10.0,312.5598326774683,1789777072620,83.33333333333334,0.0,0.0,0.0,0.0,74.58333333333334,84.58333333333334,-0.01500000000000001,complete,False,False,False,302.5598326774683,-1.25
53608,btc-updown-5m-1789776900,1789777073111,1789777200000,83.33333333333334,10.0,227.97649934413496,1789777088254,83.33333333333334,0.0,0.0,0.0,0.0,73.75000000000001,83.75000000000001,-0.005,complete,False,False,False,217.97649934413494,-0.4166666666666714
53664,btc-updown-5m-1789776900,1789777089061,1789777200000,76.92307692307692,10.0,144.22649934413494,1789777104083,76.92307692307692,0.0,0.0,0.0,0.0,68.07692307692308,78.07692307692308,-0.01500000000000001,complete,False,False,False,134.22649934413494,-1.1538461538461604
53724,btc-updown-5m-1789776900,1789777104826,1789777200000,76.92307692307692,10.0,66.14957626721186,1789777119873,50.97,25.95307692307692,25.95307692307692,0.0,3.1143692307692303,45.10845,55.10845,-0.01500000000000001,reduced,False,False,True,56.149576267211856,-1.0240807692307712
53782,btc-updown-5m-1789776900,1789777119986,1789777200000,76.92307692307692,10.0,14.155495497981086,1789777135194,4.643011729587806,72.28006519348911,50.97,21.31006519348911,6.1164,4.155495497981086,14.155495497981086,-0.02500000000000002,reduced,False,True,False,4.155495497981086,-3.3960837683932805
53842,btc-updown-5m-1789776900,1789777135702,1789777200000,50.97,6.1164,6.1164,1789777150726,0.0,50.97,50.97,0.0,5.6067,0.0,6.1164,-0.01500000000000001,impossible,False,True,False,0.0,-0.5096999999999996
53902,btc-updown-5m-1789776900,1789777151211,1789777200000,46.722500000000004,5.6067,5.6067,1789777166251,0.0,46.722500000000004,46.722500000000004,0.0,5.139475,0.0,5.6067,-0.02500000000000002,impossible,False,True,False,0.0,-0.467225
53988,btc-updown-5m-1789776900,1789777171918,1789777200000,46.7225,5.139475,5.139475,1789777200000,0.0,46.7225,46.7225,0.0,4.67225,0.0,5.139475,,impossible,True,False,True,382.5360886526647,-0.467225
54944,btc-updown-5m-1789777200,1789777446719,1789777500000,250.0,10.0,387.20833865266474,1789777461792,250.0,0.0,0.0,0.0,0.0,243.75,253.75,-0.01500000000000001,complete,False,False,False,377.20833865266474,-3.75
55004,btc-updown-5m-1789777200,1789777462663,1789777500000,101.77,4.0708,133.45833865266474,1789777477672,101.77,0.0,0.0,0.0,0.0,98.20805,102.27885,-0.005,complete,False,False,False,129.38753865266474,-0.5088500000000096
55062,btc-updown-5m-1789777200,1789777477933,1789777500000,200.0,10.0,31.179488652664745,1789777492960,21.722552464271534,178.27744753572847,178.27744753572847,0.0,7.131097901429139,21.179488652664745,31.179488652664745,-0.02500000000000002,reduced,False,True,True,21.179488652664745,-2.3258382869640712
55122,btc-updown-5m-1789777200,1789777493786,1789777500000,178.2774475357285,7.13109790142914,7.13109790142914,1789777500000,0.0,178.2774475357285,60.0,118.2774475357285,1.7999999999999998,0.0,7.13109790142914,,impossible,True,False,True,373.4925524642715,-5.33109790142914
57818,btc-updown-5m-1789778100,1789778339330,1789778400000,333.33333333333337,10.0,375.2925524642715,1789778354372,333.33333333333337,0.0,0.0,0.0,0.0,328.33333333333337,338.33333333333337,-0.01500000000000001,complete,False,False,False,365.2925524642715,-5.0
57878,btc-updown-5m-1789778100,1789778354971,1789778400000,333.33333333333337,10.0,36.95921913093815,1789778369985,27.369765615165637,305.9635677181677,305.9635677181677,0.0,6.119271354363355,26.959219130938152,36.95921913093815,-0.01500000000000001,reduced,False,True,True,26.959219130938152,-3.470182161409163
57936,btc-updown-5m-1789778100,1789778370358,1789778400000,203.97571181211188,6.119271354363356,6.119271354363356,1789778385411,0.0,203.97571181211188,203.97571181211188,0.0,4.079514236242238,0.0,6.119271354363356,-0.02500000000000002,impossible,False,True,False,0.0,-2.039757118121118
57998,btc-updown-5m-1789778100,1789778386010,1789778400000,203.97571181211188,4.079514236242238,4.079514236242238,1789778400000,0.0,203.97571181211188,203.97571181211188,0.0,2.039757118121119,0.0,4.079514236242238,,impossible,True,False,True,360.703098948499,-2.039757118121119
58964,btc-updown-5m-1789778400,1789778641299,1789778700000,51.87,4.1495999999999995,362.74285606662016,1789778656576,36.58,15.29,15.29,0.0,1.0703,34.2023,38.3519,-0.01500000000000001,reduced,False,False,True,358.59325606662014,-0.7015999999999991
59022,btc-updown-5m-1789778400,1789778656930,1789778700000,101.87,8.149600000000001,325.46125606662014,1789778671972,101.87,0.0,0.0,0.0,0.0,95.24845,103.39805000000001,-0.01500000000000001,complete,False,False,False,317.3116560666201,-1.5280500000000075
59082,btc-updown-5m-1789778400,1789778672737,1789778700000,10.0,0.8,222.06320606662013,1789778687775,10.0,0.0,0.0,0.0,0.0,9.25,10.05,-0.005,complete,False,False,False,221.2632060666201,-0.05000000000000071
59140,btc-updown-5m-1789778400,1789778687874,1789778700000,63.0,5.67,212.0132060666201,1789778700000,0.0,63.0,63.0,0.0,5.04,0.0,5.67,,impossible,True,False,True,354.79320606662014,-0.6299999999999999
61802,btc-updown-5m-1789779300,1789779462445,1789779600000,90.9090909090909,10.0,359.83320606662016,1789779477479,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,349.83320606662016,-1.3636363636363598
61836,btc-updown-5m-1789779300,1789779478257,1789779600000,90.9090909090909,10.0,267.5604787938929,1789779493290,90.9090909090909,0.0,0.0,0.0,0.0,82.27272727272727,92.27272727272727,-0.01500000000000001,complete,False,False,False,257.5604787938929,-1.3636363636363598
