id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_ask,second_ask,executable_qty,pair_cost,net_edge_005
110654,1789793055518,1789793070624,btc-updown-5m-1789792800,5m,DOWN->UP,0.04,0.97,95.0,1.01,-0.01500000000000001
110710,1789793070711,1789793085720,btc-updown-5m-1789792800,5m,DOWN->UP,0.04,0.98,534.9,1.02,-0.02500000000000002
110768,1789793086547,1789793101571,btc-updown-5m-1789792800,5m,DOWN->UP,0.03,0.37,70.0,0.4,0.595
112780,1789793621770,1789793636782,btc-updown-5m-1789793400,5m,DOWN->UP,0.06,0.96,527.27,1.02,-0.02500000000000002
112840,1789793637465,1789793652769,btc-updown-5m-1789793400,5m,DOWN->UP,0.05,0.96,288.0,1.01,-0.01500000000000001
112898,1789793653292,1789793668345,btc-updown-5m-1789793400,5m,DOWN->UP,0.05,0.96,341.51,1.01,-0.01500000000000001
112958,1789793669045,1789793684048,btc-updown-5m-1789793400,5m,DOWN->UP,0.05,0.96,191.93,1.01,-0.01500000000000001
113018,1789793684490,1789793699532,btc-updown-5m-1789793400,5m,DOWN->UP,0.05,0.97,342.53,1.02,-0.02500000000000002
118170,1789795148931,1789795163970,btc-updown-5m-1789794900,5m,DOWN->UP,0.14,0.87,51.95,1.01,-0.01500000000000001
118230,1789795164381,1789795179439,btc-updown-5m-1789794900,5m,DOWN->UP,0.14,0.87,20.72,1.01,-0.01500000000000001
118290,1789795180243,1789795195267,btc-updown-5m-1789794900,5m,DOWN->UP,0.14,0.87,20.72,1.01,-0.01500000000000001
118348,1789795196135,1789795211186,btc-updown-5m-1789794900,5m,DOWN->UP,0.14,0.31,153.0,0.45,0.545
120164,1789795680632,1789795695676,btc-updown-5m-1789795500,5m,DOWN->UP,0.14,0.87,68.85,1.01,-0.01500000000000001
120224,1789795696407,1789795711443,btc-updown-5m-1789795500,5m,DOWN->UP,0.14,0.87,15.0,1.01,-0.01500000000000001
120284,1789795712312,1789795727312,btc-updown-5m-1789795500,5m,DOWN->UP,0.14,0.91,120.0,1.05,-0.05500000000000004
120344,1789795727818,1789795742850,btc-updown-5m-1789795500,5m,DOWN->UP,0.11,0.91,93.0,1.02,-0.02500000000000002
120402,1789795743660,1789795758687,btc-updown-5m-1789795500,5m,DOWN->UP,0.1,0.91,163.07,1.01,-0.01500000000000001
125862,1789797233002,1789797248010,btc-updown-5m-1789797000,5m,DOWN->UP,0.04,0.97,240.18,1.01,-0.01500000000000001
125922,1789797248563,1789797263572,btc-updown-5m-1789797000,5m,DOWN->UP,0.04,0.98,592.86,1.02,-0.02500000000000002
125982,1789797264072,1789797279237,btc-updown-5m-1789797000,5m,DOWN->UP,0.03,0.98,345.0,1.01,-0.01500000000000001
126042,1789797279507,1789797294548,btc-updown-5m-1789797000,5m,DOWN->UP,0.03,0.98,366.59,1.01,-0.01500000000000001
126102,1789797295260,1789797310283,btc-updown-5m-1789797000,5m,DOWN->UP,0.03,0.55,115.35,0.5800000000000001,0.4149999999999999
127836,1789797752481,1789797767525,btc-updown-5m-1789797600,5m,DOWN->UP,0.09,0.92,259.34,1.01,-0.01500000000000001
127896,1789797767944,1789797782960,btc-updown-5m-1789797600,5m,DOWN->UP,0.09,0.92,249.99,1.01,-0.01500000000000001
127954,1789797783373,1789797798492,btc-updown-5m-1789797600,5m,DOWN->UP,0.09,0.92,268.27,1.01,-0.01500000000000001
128014,1789797798934,1789797813934,btc-updown-5m-1789797600,5m,DOWN->UP,0.09,0.92,205.47,1.01,-0.01500000000000001
128074,1789797814456,1789797829658,btc-updown-5m-1789797600,5m,DOWN->UP,0.09,0.93,90.0,1.02,-0.02500000000000002
128134,1789797830523,1789797845551,btc-updown-5m-1789797600,5m,DOWN->UP,0.08,0.93,125.0,1.01,-0.01500000000000001
128190,1789797846023,1789797861073,btc-updown-5m-1789797600,5m,DOWN->UP,0.08,0.94,314.85,1.02,-0.02500000000000002
128244,1789797861492,1789797876564,btc-updown-5m-1789797600,5m,DOWN->UP,0.07,0.94,55.0,1.01,-0.01500000000000001
128304,1789797876893,1789797891912,btc-updown-5m-1789797600,5m,DOWN->UP,0.07,0.94,85.68,1.01,-0.01500000000000001
128364,1789797892218,1789797907250,btc-updown-5m-1789797600,5m,DOWN->UP,0.07,0.46,302.04,0.53,0.46499999999999997
128940,1789798046133,1789798061196,btc-updown-5m-1789797900,5m,DOWN->UP,0.1,0.91,36.02,1.01,-0.01500000000000001
129000,1789798061882,1789798076925,btc-updown-5m-1789797900,5m,DOWN->UP,0.1,0.92,330.17,1.02,-0.02500000000000002
129060,1789798077631,1789798092645,btc-updown-5m-1789797900,5m,DOWN->UP,0.09,0.92,286.59,1.01,-0.01500000000000001
129120,1789798093116,1789798108156,btc-updown-5m-1789797900,5m,DOWN->UP,0.09,0.92,170.08,1.01,-0.01500000000000001
