anchor_ts_ms,hedge_ts_ms,settle_ts,market_slug,leg1_budget,first_ask,second_ask,qty,leg1_cost,leg2_cost,friction,total_cost,pair_cost_net,status,payout,pnl
1789779509434,1789779524547,1789779524547,btc-updown-5m-1789779300,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789779524714,1789779540153,1789779540153,btc-updown-5m-1789779300,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789779540153,1789779558950,1789779558950,btc-updown-5m-1789779300,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789779558950,1789779574199,1789779574199,btc-updown-5m-1789779300,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789779574437,1789779590282,1789779590282,btc-updown-5m-1789779300,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789779590282,1789779605394,1789779605394,btc-updown-5m-1789779300,10.0,0.11,0.67,90.9090909090909,10.0,60.909090909090914,0.45454545454545453,71.36363636363636,0.785,SETTLED,90.9090909090909,19.545454545454547
1789781971768,1789781986790,1789781986790,btc-updown-5m-1789781700,10.0,0.03,0.98,140.35,4.2105,137.54299999999998,0.70175,142.45524999999998,1.015,SETTLED,140.35,-2.105249999999984
1789781987259,1789782002282,1789782002282,btc-updown-5m-1789781700,10.0,0.03,0.47,20.0,0.6,9.399999999999999,0.1,10.099999999999998,0.505,SETTLED,20.0,9.900000000000002
1789782234122,1789782249134,1789782249134,btc-updown-5m-1789782000,10.0,0.05,0.96,95.0,4.75,91.2,0.47500000000000003,96.425,1.015,SETTLED,95.0,-1.4249999999999972
1789782249722,1789782264742,1789782264742,btc-updown-5m-1789782000,10.0,0.05,0.96,100.0,5.0,96.0,0.5,101.5,1.015,SETTLED,100.0,-1.5
1789782265220,1789782280298,1789782280298,btc-updown-5m-1789782000,10.0,0.05,0.96,50.0,2.5,48.0,0.25,50.75,1.015,SETTLED,50.0,-0.75
1789782280692,1789782295759,1789782295759,btc-updown-5m-1789782000,10.0,0.05,0.97,200.0,10.0,194.0,1.0,205.0,1.025,SETTLED,200.0,-5.0
1789782296221,1789782311458,1789782311458,btc-updown-5m-1789782000,10.0,0.04,0.49,80.82,3.2327999999999997,39.6018,0.40409999999999996,43.238699999999994,0.535,SETTLED,80.82,37.5813
1789782393885,1789782408919,1789782408919,btc-updown-5m-1789782300,10.0,0.08,0.94,125.0,10.0,117.5,0.625,128.125,1.025,SETTLED,125.0,-3.125
1789782409345,1789782424699,1789782424699,btc-updown-5m-1789782300,10.0,0.07,0.94,92.32,6.4624,86.78079999999999,0.46159999999999995,93.70479999999999,1.015,SETTLED,92.32,-1.3847999999999985
1789782425007,1789782440061,1789782440061,btc-updown-5m-1789782300,10.0,0.07,0.94,142.85714285714283,10.0,134.28571428571425,0.7142857142857142,144.99999999999997,1.015,SETTLED,142.85714285714283,-2.142857142857139
1789782440885,1789782455942,1789782455942,btc-updown-5m-1789782300,10.0,0.07,0.94,21.38,1.4966000000000002,20.097199999999997,0.1069,21.700699999999998,1.015,SETTLED,21.38,-0.32069999999999865
1789782456439,1789782471465,1789782471465,btc-updown-5m-1789782300,10.0,0.07,0.95,142.85714285714283,10.0,135.7142857142857,0.7142857142857142,146.42857142857142,1.025,SETTLED,142.85714285714283,-3.5714285714285836
1789782472325,1789782487365,1789782487365,btc-updown-5m-1789782300,10.0,0.06,0.94,80.32,4.8191999999999995,75.50079999999998,0.40159999999999996,80.72159999999998,1.005,SETTLED,80.32,-0.40159999999998774
1789782488070,1789782503070,1789782503070,btc-updown-5m-1789782300,10.0,0.07,0.94,142.85714285714283,10.0,134.28571428571425,0.7142857142857142,144.99999999999997,1.015,SETTLED,142.85714285714283,-2.142857142857139
1789782503446,1789782518507,1789782518507,btc-updown-5m-1789782300,10.0,0.07,0.94,77.89,5.4523,73.2166,0.38945,79.05834999999999,1.015,SETTLED,77.89,-1.1683499999999896
1789782519251,1789782534265,1789782534265,btc-updown-5m-1789782300,10.0,0.07,0.94,96.29,6.740300000000001,90.5126,0.48145000000000004,97.73435,1.015,SETTLED,96.29,-1.44435
1789782534959,1789782550006,1789782550006,btc-updown-5m-1789782300,10.0,0.07,0.94,141.29,9.8903,132.81259999999997,0.70645,143.40934999999996,1.015,SETTLED,141.29,-2.1193499999999688
1789782550508,1789782565543,1789782565543,btc-updown-5m-1789782300,10.0,0.07,0.95,142.85714285714283,10.0,135.7142857142857,0.7142857142857142,146.42857142857142,1.025,SETTLED,142.85714285714283,-3.5714285714285836
1789782565931,1789782580970,1789782580970,btc-updown-5m-1789782300,10.0,0.06,0.95,166.66666666666669,10.0,158.33333333333334,0.8333333333333335,169.16666666666669,1.015,SETTLED,166.66666666666669,-2.5
1789782581564,1789782596598,1789782596598,btc-updown-5m-1789782300,10.0,0.06,0.95,166.66666666666669,10.0,158.33333333333334,0.8333333333333335,169.16666666666669,1.015,SETTLED,166.66666666666669,-2.5
1789782596692,1789782611815,1789782611815,btc-updown-5m-1789782300,10.0,0.06,0.64,110.86,6.651599999999999,70.9504,0.5543,78.1563,0.705,SETTLED,110.86,32.7037
1789783937540,1789783952637,1789783952637,btc-updown-5m-1789783800,10.0,0.13,0.88,21.86,2.8418,19.2368,0.1093,22.1879,1.015,SETTLED,21.86,-0.32789999999999964
1789783952637,1789783967656,1789783967656,btc-updown-5m-1789783800,10.0,0.13,0.88,76.92307692307692,10.0,67.6923076923077,0.3846153846153846,78.07692307692308,1.015,SETTLED,76.92307692307692,-1.1538461538461604
1789783968337,1789783983367,1789783983367,btc-updown-5m-1789783800,10.0,0.13,0.88,76.92307692307692,10.0,67.6923076923077,0.3846153846153846,78.07692307692308,1.015,SETTLED,76.92307692307692,-1.1538461538461604
1789783983786,1789783999489,1789783999489,btc-updown-5m-1789783800,10.0,0.13,0.88,76.92307692307692,10.0,67.6923076923077,0.3846153846153846,78.07692307692308,1.015,SETTLED,76.92307692307692,-1.1538461538461604
1789783999489,1789784014509,1789784014509,btc-updown-5m-1789783800,10.0,0.13,0.97,76.92307692307692,10.0,74.61538461538461,0.3846153846153846,85.0,1.105,SETTLED,76.92307692307692,-8.07692307692308
1789784015164,1789784030169,1789784030169,btc-updown-5m-1789783800,10.0,0.04,0.96,182.93,7.317200000000001,175.6128,0.9146500000000001,183.84465,1.005,SETTLED,182.93,-0.9146499999999946
1789784030967,1789784046001,1789784046001,btc-updown-5m-1789783800,10.0,0.05,0.96,191.0,9.55,183.35999999999999,0.9550000000000001,193.865,1.015,SETTLED,191.0,-2.865000000000009
1789784046321,1789784061353,1789784061353,btc-updown-5m-1789783800,10.0,0.05,0.95,69.59,3.4795000000000003,66.1105,0.34795000000000004,69.93795,1.005,SETTLED,69.59,-0.3479499999999973
